date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200401,5022688,228829,255426,231842,336785,285889,6361459,0,4155,16585,101,-61,159,10983,3,0.010320867,0.014468691,0.026751006,0.024414636,0.023454087,0.000391415,0.563062607,0
20200402,5157354,228882,256917,229366,343543,289785,6505847,0,3979,17885,89,-176,261,10196,4,0.009001719,0.042358604,0.024187101,0.024104886,0.023106339,0.000391437,0.584202085,0
20200403,5750115,226896,256253,227080,338925,314379,7113648,0,3867,18908,86,-112,193,11530,5,0.00862069,0.028147776,0.026705702,0.023710721,0.02269933,0.000392535,0.598389982,0
20200404,5613265,116903,142336,109054,188071,255844,6425473,0,3654,20144,94,-213,304,11759,3,0.009342079,0.055081458,0.02652767,0.023353139,0.022319309,0.000388984,0.622784561,0
20200405,5048606,51604,86032,45737,49075,217540,5498594,0,3591,19571,81,-63,138,6201,6,0.007975581,0.017241379,0.013627613,0.023178358,0.022194856,0.000396763,0.631337306,0
20200406,5247214,216665,245006,211596,324188,297737,6542406,0,3500,19295,47,-91,135,5571,3,0.004591189,0.025341131,0.012078494,0.022980543,0.02203066,0.000398454,0.641579152,0
20200407,5118214,227333,256196,237755,347507,292003,6479008,0,3445,20650,47,-55,96,10500,6,0.004570206,0.015714286,0.022493381,0.022623255,0.021644487,0.000402259,0.647952764,0
20200408,5155473,224535,252477,226816,338080,291259,6488640,0,3408,17858,53,-37,82,8699,8,0.005130191,0.010740203,0.018225282,0.022181162,0.021366123,0.00041152,0.652542373,0
20200409,5199109,224462,252940,226010,338093,290182,6530796,0,3246,15509,39,-162,197,8708,4,0.003755778,0.047535211,0.017917585,0.021750744,0.021068866,0.000412362,0.669001247,0
20200410,5773978,224643,253949,219381,333994,315684,7121629,0,3125,15298,27,-121,144,8340,4,0.002590425,0.037276648,0.016858327,0.021424779,0.020773242,0.000413477,0.681052632,0
20200411,5483718,114958,140036,110640,192027,253143,6294522,0,3026,14070,30,-99,126,7428,3,0.002870813,0.03168,0.014765898,0.021111624,0.020529738,0.000413337,0.691125954,0
20200412,4655136,49200,81976,43147,46675,205371,5081505,0,2930,13788,32,-96,125,4142,3,0.003053435,0.03172505,0.008113948,0.020989032,0.020426683,0.00041584,0.700913242,0
20200413,5294074,217273,245826,211360,321566,299326,6589425,0,2873,13391,25,-57,79,4122,3,0.002378234,0.019453925,0.008009778,0.020850813,0.020312563,0.000418319,0.706747651,0
